Waterbody Name,Latitude,Longitude,Collection Date,Level 3 Ecoregion
Bear Creek,32.67441667,-90.0886944,1/30/2002,74
Kentawka Canal,32.76,-89.1373611,3/5/2002,65
Bayou Delisle,30.39422222,-89.26161111,1/26/2002,75
Spring Creek,33.57269444,-88.563,1/29/2002,65
Magowah Creek,33.3746111,-88.52891667,1/29/2002,65
Kentawka Canal,32.76247222,-89.1385556,3/5/2002,65
Unnamed Tributary in Greens Creek,32.980416,-89.89675,2/5/2002,74
Buntyn Creek,34.125667,-90.063389,1/22/2002,74
Broken Pumpkin Creek,33.257139,-88.351333,1/30/2002,65
Unnamed tributary of Bayou Delisle,30.413028,-89.275222,1/26/2002,65
Unnamed Tributary to Leaf River,31.1806111,-88.91797222,2/4/2002,65
Turkey Creek,33.98408333,-89.6438888,2/1/2002,65
Berry Branch,34.4025,-89.579,2/2/2002,65
Jasper Creek,34.59661111,-89.01080556,3/4/2003,65
Hudson Creek,34.35619444,-89.67680556,2/2/2003,65
Otoucalofa Creek,34.14052778,-89.63547222,2/13/2003,65
Burney Branch,34.28855556,-89.50788889,2/12/2003,65
Pelucia Creek,33.466093,-90.132436,2/19/2003,73
Coila Creek,33.37038333,-90.08753333,2/19/2003,74
Wolf Creek,33.54777778,-89.49016667,1/25/2003,65
McCurtain Creek,33.43319444,-89.37755556,2/20/2003,65
Tesheva Creek,32.97766667,-90.29905556,2/4/2003,73
Apookta Creek,33.11322222,-89.76427778,2/5/2003,65
Kyle Creek,33.18366667,-89.79136111,2/5/2003,74
Box Creek/Green's Creek,32.98136111,-89.91197222,2/5/2003,74
Atwood Creek,33.08680556,-89.68580556,2/5/2003,65
Rhodes Creek,32.10575,-90.28422222,1/26/2003,74
Chunky River,32.22930556,-88.82161111,2/5/2003,65
Horse Branch,31.86761111,-89.01122222,2/19/2003,65
Cars Creek,31.07313889,-90.75838889,2/20/2003,74
Big Creek,31.43475,-90.49227778,2/13/2003,74
Bogue Chitto,31.49505556,-90.44391667,2/12/2003,74
Beaver Creek,31.337,-90.45211111,2/12/2003,74
Leaf River,31.2624753,-89.22683296,1/28/2003,65
Bernard Bayou,30.44466667,-89.137778,2/3/2003,75
East Fork Amite River,31.02827778,-90.79177778,2/19/2003,74
unnamed trib to Big Black,33.06677778,-89.86463889,2/25/2003,74
Nelson Creek,34.48913889,-89.75919444,1/31/2003,65
Humphreys Creek,34.24163889,-89.56633333,2/13/2003,65
Goodwin Creek,34.22786111,-89.59880556,2/13/2003,65
UT to Hurricane Creek,34.83536111,-90.05908333,2/27/2003,74
Moore Creek,33.49927778,-88.43380556,2/13/2003,65
Oak Slush Creek,33.49613889,-88.49344444,2/13/2003,65
Gilmer Creek,33.40575,-88.53205556,2/11/2003,65
Horse Hunter Creek,33.12061111,-88.57597222,2/11/2003,65
Willis Creek,32.04147222,-90.98208333,2/7/2003,74
Jim's Bayou,32.16888889,-90.85508333,1/24/2003,74
Pickett Creek,32.72722222,-90.15247222,1/30/2003,74
Hasuqua Creek,33.06427778,-88.74711111,2/11/2003,65
Beaver Creek,31.00863889,-90.92230556,2/11/2003,74
Bars Branch,31.17580556,-90.28991667,2/10/2003,65
Leaf River,31.34619444,-89.28013889,1/28/2003,65
Horse Branch,31.87138889,-89.04952778,2/18/2003,65
Long Branch,32.02438889,-88.62858333,2/5/2003,65
Canal #2/#3,30.36955556,-89.18541667,2/4/2003,75
Big Creek,31.10491667,-88.65772222,1/29/2003,65
Leaf River,31.83069444,-89.40758333,2/23/2003,65
Tallahalla Creek,31.23580556,-89.08525,1/24/2003,65
UT to Catalpa Creek,33.41269444,-88.64925,2/24/2003,65
UT to Catalpa Creek,33.42452778,-88.658083,2/24/2003,65
Redding Creek,31.27572222,-91.06252778,1/27/2003,74
Redding Creek,31.27683333,-91.06194444,1/27/2003,74
Big Brown Creek,34.50411111,-88.43513889,3/3/2003,65
Potterchitto Creek,32.33297222,-89.17136111,2/3/2003,65
Potterchitto Creek,32.33752778,-89.16713889,2/3/2003,65
Snake Creek,32.26052778,-90.40777778,2/18/2003,74
Snake Creek,32.26908333,-90.41413889,2/18/2003,74
Chunky Creek,32.55641667,-89.11225,2/3/2003,65
Fords Creek,31.14158333,-91.302,1/28/2003,74
UT to Big Black,33.06644444,-89.86883333,2/24/2003,74
Big Black River,33.57625,-89.13102778,2/4/2004,65
Porter Creek,31.43616667,-90.84616667,1/12/2004,74
Black Creek,31.27613889,-89.49094444,2/3/2004,65
Anderson's Branch,32.431889,-89.10953,3/10/2004,65
Beartail Creek,34.73358333,-89.926,1/8/2004,74
Tubbalubba Creek,34.07655556,-88.69927778,1/14/2004,65
Cummings Creek,34.28361111,-88.407,1/29/2004,65
Halfway Creek,33.9045,-88.44755556,1/14/2004,65
Little Black Creek,33.52872222,-89.25338889,2/4/2004,65
Spring Creek,33.57263889,-89.15261111,1/28/2004,65
Trim Cane Creek,33.51919444,-88.8425,1/13/2004,65
Cypress Creek,33.32794444,-88.90436111,1/13/2004,65
Kincaid Creek,33.35683331,-88.30365,2/3/2004,65
Conehatta Creek,32.41666667,-89.27558333,1/29/2004,65
West Tallahalla Creek,32.20197222,-89.31619444,1/23/2004,65
Oakahay Creek,32.04888889,-89.57163889,2/4/2004,65
Second Creek,31.39127778,-91.38838889,2/3/2004,74
Bogue Homo,31.480806,-89.047278,2/3/2004,65
Whites Creek,31.39713889,-91.35472222,2/27/2004,74
Bear Creek,32.677306,-90.090694,1/15/2004,74
Skiffer Creek,31.76708333,-89.77652778,1/22/2004,65
Juniper Creek,30.7269722,-89.569222,1/20/2004,65
Tangipahoa River,31.21313889,-90.523,1/21/2004,74
Arkabutla Creek,34.5233611,-90.0240556,1/8/2004,74
Davis Creek,34.235583,-89.680167,1/7/2004,65
Clark Creek,33.84219444,-89.54911111,1/22/2004,65
Cowpenna Creek,34.06772222,-88.58822222,1/14/2004,65
Hurricane Creek,34.84144444,-90.07727778,1/15/2004,74
Love Creek,31.11624167,-90.25634444,1/21/2004,65
Courtney Creek,34.25133333,-89.55058333,2/23/2004,65
Unn. trib of Clear Creek,31.285528,-90.44025,1/21/2004,74
Unn. Trib of Clear Creek,31.28425,-90.439722,1/21/2004,74
Little Red Creek,30.72261111,-88.76577778,1/5/2004,65
Sowashee Creek,32.32775,-88.73372222,1/7/2004,65
Beaver Creek,31.04716667,-90.94711111,1/12/2004,74
Mussacuna Creek,34.78888889,-90.02180556,1/15/2004,74
Wahalak Creek,32.8958166,-88.538183,3/3/2006,65
Mason Creek,31.26863889,-88.61133333,9/18/2006,65
Moungers Creek,30.63625,-88.69575,9/12/2006,65
Yocona River,34.25952778,-89.35711111,1/5/2005,65
Mattuby Creek,33.87066667,-88.59825,1/27/2005,65
Houlka Creek,33.74194444,-88.7675,1/27/2005,65
Lobutcha Creek,32.86366667,-89.44302778,1/5/2005,65
Mill Creek,34.52680556,-89.24730556,1/6/2005,65
Dry Creek,31.64061111,-89.72741667,1/10/2005,65
Black Creek,31.44075,-89.67208333,1/10/2005,65
Hoke Creek,34.49975,-89.74191667,1/5/2005,65
Bahala Creek,31.74636111,-90.28988889,1/11/2005,65
Bogue Homa,31.74636111,-89.021,1/27/2005,65
Cedar Creek,31.96152778,-88.50775,1/20/2005,65
Richardson Mill Creek,32.33761111,-89.17772222,1/20/2005,65
Little Tallahatchie Road,34.50613889,-88.99516667,1/25/2005,65
Strong River,31.84611111,-90.09138889,1/27/2005,65
Bogue Chitto River,31.27147222,-90.36283333,1/11/2005,65
Unnamed Trib to Big Black River,33.06771,-89.842144,2/1/2005,74
